BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
3,ROAD NO.,,GAYATRI NAGAR,VISAKHAPATNAM,AP,530041,India
859/2,,,,AHMEDABAD,GJ,382110,India
1806/1807,,,,ANKLESHWAR,,393002,India
,,,,VARANASI,,221302,India
E-131,STHAN,,,ALWAR,,301706,India
,,,,NEW DELHI,,110006,India
,RD,,,MUDHOLE,TS,504103,India
R-1,ROAD DAGINA BAZAR,,,MUMBAI,MH,400002,India
,,,,KOLAR,KA,563101,India
,,,,ERNAKULAM,KL,686661,India
203,,,,HYDERABAD,,500075,India
12,RD NO.,,,SIRSA,HR,125076,India
,,,,PANIPAT,,132103,India
,ST KATTU VALAVU ARIYAGOUNDAMPATTY POST NAMAGIRIPETTAI,,,NAMAKKAL,,637406,India
1/A/B,"ST, SECTOR 46A",,SECTOR 46A,NAVI MUMBAI,,400706,India
F-1,,KHANDELWAL WEIGH BRIDGE MAHARASHTRA AKOLA IN 444104,MIDC PHASE,AKOLA,,444104,India
01,,,,ROURKELA,OD,769004,India
,,,,GORAGANAMUDI,,534244,India
,,,SAIBABA NAGAR,MUMBAI,MH,400092,India
,,,B.K. SINDHI COLONY,INDORE,,452012,India
,ST FLOOR,,,SURAT,,395007,India
,,,,ERNAKULAM,,682013,India
,ROAD,,,HYDERABAD,,500082,India
,,,AT-MAHAVIRNAGAR,SABARKANTHA HIMMATNAGAR IN 383001,,383001,India
835/1,ST GATE,YMCA CLUB SUR NO. +3,BLOCK NO. A/1003,AHMEDABAD,GJ,380051,India
49,STRIAL ESTATE,,PADAVATTAMMAN NAGAR,AMBATTUR,TN,600098,India
,STONE APARTMENT,,,AMBATTUR,,600037,India
55,ROAD BODUPPAL MEDCHAL MALKAJGIRI,,,HYDERABAD,,500092,India
,,,ELUMALAIYAN NAGAR,DINDIGUL,TN,624308,India
,,,,YELLANDU,TS,507123,India
9/222/24,"RD FLOOR, ROAD GAT NO.650/3B/4 KOLHAPUR",,,KOLHAPUR,,416115,India
,,,,TIRUPUR,,638701,India
37,ST FLOOR DLF CITY,DLF CITY,PHASE,GURGAON,,122002,India
263,,,PHATA BHAMBOLI,PUNE,,410501,India
,,KISSAN KANYA SENIOR SECONDARY SCHOOL NAGORI BERA,SECONDARY SCHOOL NAGORI BERA,JODHPUR,,342304,India
,,,KAVI NAGAR,GHAZIABAD,UP,201002,India
A-22,,,ARJUN NAGAR,BHARATPUR,RJ,321001,India
,,,,CHURU,RJ,331403,India
7314/1,,,,BHARUCH,GJ,393002,India
,,,SAHAKAR NAGAR,PUNE,MH,411046,India
801,,,GOMTI NAGAR,LUCKNOW,UP,226010,India
,,,,CHENNAI,TN,600034,India
,,,SECUNDERABAD IN-TS IN 500011,SECUNDERABAD,TS,500011,India
12A/1,"ROAD, SECTOR 2",,SECTOR 2,PARWANOO,HP,173220,India
H-28,ST FLOOR,,,GORAKHPUR,UP,273001,India
9-9-7/A,STREET,,,NARASARAOPET,,522601,India
,,,,DEHRADUN,UK,248171,India
,,,,SURAT,GJ,395003,India
,,,,KALYAN,,421301,India
,,,,PALAKKAD,KL,678542,India
57,,,,CHENNAI,TN,600079,India
,,,,BANGALORE,KA,560062,India
B-25,"ROAD, STRIAL ESTATE BAZPUR ROAD",,UDHAM SINGH NAGAR,KASHIPUR,UK,244713,India
A-1,,,,THANE,MH,400601,India
,,,,ERNAKULAM,KL,686669,India
6/,"ROAD, RD NO 21",,,SIRUGUPPA,KA,583121,India
34,"ROAD, ST BLOCK",,JAYANAGAR,BANGALORE,KA,560011,India
,,,,VADODARA,,390007,India
,"RD FLOOR, STREET",,,MUMBAI,MH,400001,India
H-8,,,,SANGLI,,416436,India
,CROSS,,SRI DHAKSHINAMURTHY NAGAR,PILERU,AP,517214,India
B-6,,,SAFDARJUNG ENCLAVE,NEW DELHI,DL,110029,India
,,,EEA MAYUR VIHAR PHASE,DELHI,,110096,India
283/A,,,,HYDERABAD,TS,500033,India
06,,,,INDORE,MP,453555,India
76/A,"ST FLOOR, STDELHI",,LAXMI NAGAR,DELHI,DL,110092,India
,ROAD,,,CHITTOOR,AP,517507,India
,"ROAD SHANTHALA, ST MARKS ROAD SHANTHALA",,ST MARKS ROAD SHANTHALA NAGAR,BANGALORE,KA,560001,India
,ROAD,,GANDHINAGAR,GANDHINAGAR,,382421,India
,ROAD,,,JAMMU,JK,181201,India
,,,KHATIMA UDHAM SINGH NAGAR,KHATIMA,UK,262308,India
,ST OFFICE,,,AMBUR,TN,635802,India
07,ROAD,,SECOND FLOOR,PUNE,MH,411018,India
B-9,ST FLOOR CHIRAG,,FIRST FLOOR CHIRAG ENCLAVE,NEW DELHI,DL,110048,India
238,"ROAD CTS NO  E VILLAGE, ST",,,MUMBAI,MH,400093,India
02,,,,RAIPUR,CG,492001,India
178-M-33,,,,DELHI,DL,110030,India
,ROAD,,,VILUPPURAM,TN,606202,India
487/1,ROAD,GANESH TEMPLE,PHAD UGAON ROAD,NASHIK,MH,422303,India
,,,HARISH NAGAR,SURAT,,395006,India
79,ST STREET,,ANNA NAGAR,CHENNAI,,600040,India
38,ROAD VILL MADHVIPUR,,,RAJKOT,GJ,360050,India
,ST,,PHIROJSHANAGAR,MUMBAI,MH,400079,India
